('Hahc21', 'Miniapolis') {0: {'weight': 1, 'year': 2013}}
('AutomaticStrikeout', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Shadowjams', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('WilyD', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Kiefer.Wolfowitz', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('TParis', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('GiantSnowman', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Intothatdarkness', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Keepscases', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Kierzek', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Spencer', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Pichpich', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Espresso Addict', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Axl', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Wikipedian Penguin', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Colonel Warden', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Salvio  giuliano', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Hobit', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('DeltaQuad', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Mark91', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Hullaballoo Wolfowitz', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Glrx', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
('Bwilkins', 'Miniapolis') {0: {'weight': -1, 'year': 2013}}
